requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"56","1","1","5527","5526","5526","5527","5526","0",
"63","2","2","6129","6128","6128","5828","5827","0",
"74","3","3","7198","7198","9028","6285","6284","0",
"79","4","4","7667","7567","6066","6630","6605","100",
"86","5","5","8171","8171","8262","6938","6918","0",
"98","6","6","9240","9240","10542","7322","7305","0",
"103","7","7","9709","9609","10310","7663","7634","100",
"110","8","8","10413","10213","10732","8007","7957","200",
"119","9","9","11350","11050","11733","8378","8300","300",
"124","10","10","11819","11419","12007","8722","8612","400",
"133","11","11","12760","12260","12869","9089","8944","500",
"145","12","12","13928","13328","14162","9493","9309","600",
"149","13","13","14396","13696","14648","9870","9647","700",
"157","14","14","15091","14291","15123","10243","9978","800",
"168","15","15","16275","15375","16137","10645","10338","900",
"175","16","16","16975","15975","16869","11041","10690","1000",
"180","17","17","17445","16345","17255","11417","11023","1100",
"192","18","18","18616","17416","18117","11817","11378","1200",
"203","19","19","19789","18489","19212","12237","11752","1300",
"215","20","20","20962","19562","20410","12673","12143","1400",
"227","21","21","22132","20632","21639","13123","12547","1500",
"232","22","22","22609","21009","22362","13555","12932","1600",
"239","23","23","23309","21609","22949","13979","13309","1700",
"253","24","24","24716","22916","23932","14426","13709","1800",
"269","25","25","26351","24451","25299","14903","14139","1900",
"274","26","26","26820","24820","26172","15361","14550","2000",
"285","27","27","27994","25894","27146","15829","14970","2100",
"297","28","28","29163","26963","28179","16306","15398","2200",
"302","29","29","29633","27333","28863","16765","15810","2300",
"309","30","30","30351","27951","29448","17218","16215","2400",
"321","31","31","31508","29008","30199","17679","16627","2500",
"332","32","32","32669","30069","31069","18147","17047","2600",
"337","33","33","33148","30448","31691","18602","17453","2700",
"346","34","34","34084","31284","32357","19057","17860","2800",
"349","35","35","34323","31423","32739","19493","18248","2900",
"356","36","36","34929","31929","33086","19922","18628","3000",
"361","37","37","35399","32299","33356","20340","18997","3100",
"365","38","38","35862","32662","33574","20749","19357","3200",
"370","39","39","36740","33440","33931","21159","19718","3300",
"374","40","40","36898","33498","34109","21552","20062","3400",
"379","41","41","37365","33865","34280","21938","20399","3500",
"384","42","42","37837","34237","34454","22317","20729","3600",
"391","43","43","38539","34839","34721","22694","21057","3700",
"396","44","44","38803","35203","34978","23060","21378","3600",
"403","45","45","39313","35813","35319","23421","21699","3500",
"407","46","46","39579","36179","35643","23772","22014","3400",
"417","47","47","40304","37004","36113","24124","22333","3300",
"419","48","48","40361","37161","36478","24462","22642","3200",
"426","49","49","40855","37755","36903","24797","22950","3100",
"431","50","50","41122","38122","37305","25124","23253","3000",
"438","51","51","41627","38727","37765","25447","23557","2900",
"442","52","52","41898","39098","38200","25763","23856","2800",
"450","53","53","42402","39702","38687","26077","24155","2700",
"454","54","54","42675","40075","39148","26385","24450","2600",
"461","55","55","43180","40680","39655","26690","24745","2500",
"466","56","56","43439","41039","40131","26989","25036","2400",
"473","57","57","43939","41639","40649","27287","25327","2300",
"478","58","58","44210","42010","41139","27578","25615","2200",
"485","59","59","44713","42613","41668","27869","25903","2100",
"489","60","60","44987","42987","42169","28154","26187","2000",
"496","61","61","45481","43581","42705","28438","26473","1900",
"501","62","62","45756","43956","43213","28717","26755","1800",
"510","63","63","46488","44788","43813","29000","27041","1700",
"513","64","64","46527","44927","44318","29273","27320","1600",
"520","65","65","47044","45544","44861","29547","27601","1500",
"525","66","66","47306","45906","45372","29816","27878","1400",
"534","67","67","48036","46736","45970","30088","28159","1300",
"536","68","68","48066","46866","46475","30352","28435","1200",
"543","69","69","48578","47478","47013","30616","28711","1100",
"548","70","70","48840","47840","47523","30877","28984","1000",
"555","71","71","49348","48448","48063","31137","29258","900",
"560","72","72","49614","48814","48576","31393","29530","800",
"567","73","73","50116","49416","49117","31650","29802","700",
"571","74","74","50385","49785","49631","31903","30072","600",
"578","75","75","50888","50388","50173","32156","30343","500",
"583","76","76","51155","50755","50687","32406","30611","400",
"590","77","77","51662","51359","51228","32656","30881","300",
"595","78","78","51929","51726","51743","32903","31148","200",
"602","79","79","52432","52328","52283","33151","31416","100",
"607","80","80","52702","52702","52799","33395","31682","0",
"614","81","81","53315","53315","53341","33641","31949","0",
"618","82","82","53673","53673","53856","33885","32214","0",
"625","83","83","54375","54275","54395","34132","32480","100",
"630","84","84","54841","54641","54908","34379","32744","200",
"637","85","85","55546","55246","55445","34628","33009","300",
"642","86","86","56016","55616","55959","34876","33272","400",
"649","87","87","56731","56231","56496","35128","33535","500",
"653","88","88","57189","56589","57009","35378","33797","600",
"660","89","89","57892","57192","57543","35631","34060","700",
"665","90","90","58361","57561","58054","35884","34321","800",
"672","91","91","59064","58164","58587","36138","34583","900",
"677","92","92","59533","58533","59097","36393","34844","1000",
"684","93","93","60246","59146","59629","36649","35105","1100",
"689","94","94","60705","59505","60138","36905","35365","1200",
"696","95","95","61404","60104","60666","37163","35625","1300",
"700","96","96","61865","60465","61172","37420","35884","1400",
"707","97","97","62588","61088","61701","37680","36144","1500",
"712","98","98","63046","61446","62207","37939","36402","1600",
"719","99","99","63750","62048","62732","38199","36661","1700",
"724","100","100","64220","62418","63237","38460","36918","1800",
"733","101","101","65161","63258","63799","38724","37179","1900",
"735","102","102","65390","63388","64299","38985","37436","2000",
"747","103","103","66461","64258","64860","39252","37697","2100",
"747","104","103","66462","64258","65341","39514","37697","2200",
"749","105","104","66997","64695","65816","39776","37956","2300",
"754","106","105","67278","64773","66232","40035","38212","2400",
"754","107","105","67279","64773","66584","40290","38212","2500",
"759","108","106","67737","65036","66916","40544","38465","2600",
"759","109","106","67742","65036","67192","40793","38465","2700",
"766","110","107","68437","65530","67489","41045","38718","2800",
"766","111","107","68439","65530","67735","41291","38718","2900",
"771","112","108","68914","65706","67960","41538","38967","3000",
"771","113","108","68914","65706","68140","41780","38967","3100",
"771","114","108","68914","65706","68281","42018","38967","3200",
"778","115","109","69621","66112","68444","42258","39217","3300",
"778","116","109","69621","66112","68569","42494","39217","3400",
"778","117","109","69622","66112","68662","42726","39217","3500",
"782","118","110","70086","66276","68748","42958","39463","3600",
"782","119","110","70088","66276","68805","43186","39463","3700",
"782","120","110","70087","66276","68837","43410","39463","3800",
"789","121","111","70792","66581","68887","43636","39707","3900",
"789","122","111","70792","66581","68914","43859","39707","4000",
"789","123","111","70793","66581","68920","44078","39707","4100",
"789","124","111","70794","66581","68907","44293","39707","4200",
"801","125","112","71464","66753","68900","44511","39948","4300",
"801","126","112","71466","66753","68877","44725","39948","4400",
"801","127","112","71466","66753","68839","44935","39948","4500",
"801","128","112","71454","66753","68788","45142","39948","4600",
"801","129","112","71469","66753","68726","45347","39948","4700",
"806","130","113","71923","66611","68637","45551","40184","4800",
"806","131","113","71924","66611","68540","45752","40184","4900",
"806","132","113","71924","66611","68437","45951","40184","5000",
"806","133","113","71925","66611","68329","46146","40184","5100",
"806","134","113","71925","66611","68216","46338","40184","5200",
"806","135","113","71925","66611","68100","46528","40184","5300",
"810","136","114","73990","68180","68165","46730","40430","5400",
"810","137","114","73793","68180","68215","46927","40430","5300",
"810","138","114","73593","68180","68252","47120","40430","5200",
