requests,served,persisted,serve RTT,req RTT,next RTT,serve av,perist av,window size
"50","1","1","5806","5606","5606","5806","5606","100",
"50","2","1","5658","5606","5606","5732","5606","50",
"50","3","2","6678","6676","9461","6047","6141","0",
"50","4","3","7143","7040","4922","6321","6441","100",
"50","5","4","7695","7641","7247","6596","6741","50",
"50","6","5","8726","8722","9647","6951","7137","0",
"50","7","6","9194","9088","9455","7271","7462","100",
"50","8","7","9893","9687","9903","7599","7780","200",
"50","9","8","11061","10753","11341","7984","8152","300",
"50","10","9","11543","11133","11680","8340","8483","400",
"50","11","10","12242","11730","12146","8694","8808","500",
"50","12","11","13405","12792","13303","9087","9170","600",
"50","13","12","13878","13163","13770","9456","9503","700",
"50","14","13","14578","13762","14272","9821","9830","800",
"50","15","14","15761","14844","15321","10217","10188","900",
"50","16","15","15989","14971","15618","10578","10507","1000",
"50","17","16","16220","15100","15602","10910","10794","1100",
"50","18","17","16931","15712","15910","11245","11084","1200",
"50","19","18","17227","16071","16187","11559","11361","1150",
"50","20","19","17800","16679","16662","11871","11641","1100",
"50","21","20","18113","17041","17063","12169","11911","1050",
"50","22","21","18666","17643","17602","12464","12184","1000",
"50","23","22","18985","18009","18057","12747","12448","950",
"50","24","23","19542","18617","18625","13031","12717","900",
"50","25","24","19856","18980","19103","13304","12978","850",
"50","26","25","20403","19582","19672","13577","13242","800",
"50","27","26","21335","20552","20516","13864","13523","750",
"50","28","27","21652","20917","21184","14142","13797","700",
"50","29","28","22193","21362","21776","14420","14067","800",
"50","30","29","22465","21529","22166","14688","14324","900",
"50","31","30","22922","21886","22519","14954","14576","1000",
"50","32","31","23639","22500","22978","15225","14832","1100",
"50","33","32","24095","22855","23386","15494","15083","1200",
"50","34","33","24810","23469","23882","15768","15337","1300",
"50","35","34","25263","23822","24321","16039","15586","1400",
"50","36","35","25975","24432","24833","16315","15839","1500",
"50","37","36","26438","24793","25292","16589","16088","1600",
"50","38","37","27142","25397","25813","16866","16339","1700",
"50","39","38","27609","25764","26283","17142","16587","1800",
"50","40","39","28316","26370","26811","17421","16838","1900",
"50","41","40","28781","26735","27286","17698","17086","2000",
"50","42","41","29490","27344","27816","17979","17336","2100",
"50","43","42","29954","27703","28294","18257","17583","2200",
"50","44","43","30658","28305","28820","18539","17832","2300",
"50","45","44","31123","28670","29298","18819","18078","2400",
"50","46","45","31840","29286","29826","19102","18327","2500",
"50","47","46","32298","29642","30305","19383","18573","2600",
"50","48","47","32999","30241","30825","19666","18822","2700",
"50","49","48","33468","30610","31304","19948","19067","2800",
"50","50","49","34178","31221","31826","20233","19315","2900",
