requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"33","1","1","4272","2268","2268","4272","2268","1000",
"33","2","1","4173","2268","2268","4223","2268","1000",
"33","3","1","4070","2268","2268","4172","2268","1000",
"33","4","1","3977","2268","2268","4123","2268","1000",
"33","5","1","3871","2268","2268","4072","2268","1000",
"33","6","1","3777","2268","2268","4024","2268","1000",
"33","7","1","3674","2268","2268","3974","2268","1000",
"33","8","1","3578","2268","2268","3924","2268","1000",
"33","9","1","3473","2268","2268","3874","2268","1000",
"33","10","1","3376","2268","2268","3824","2268","1000",
"33","11","1","3273","2268","2268","3774","2268","1000",
"45","12","3","4429","2514","2595","3828","2488","1000",
"45","13","3","4327","2514","2683","3867","2488","1000",
"45","14","3","4229","2514","2678","3893","2488","1000",
"45","15","3","4126","2514","2640","3908","2488","1000",
"45","16","3","4028","2514","2595","3916","2488","1000",
"45","17","3","3920","2514","2553","3916","2488","1000",
"45","18","3","3827","2514","2518","3911","2488","1000",
"45","19","3","3725","2514","2490","3901","2488","1000",
"45","20","3","3625","2514","2468","3888","2488","1000",
"45","21","3","3523","2514","2453","3870","2488","1000",
"50","22","4","4367","2451","2396","3893","2522","1000",
"50","23","4","4261","2451","2362","3909","2522","1000",
"50","24","4","4159","2451","2343","3919","2522","1000",
"50","25","4","4066","2451","2334","3925","2522","1000",
"50","26","4","3969","2451","2332","3927","2522","1000",
"50","27","4","3866","2451","2334","3925","2522","1000",
"50","28","4","3770","2451","2340","3919","2522","1000",
"50","29","4","3671","2451","2347","3910","2522","1000",
"50","30","4","3568","2451","2354","3899","2522","1000",
"50","31","4","3466","2451","2363","3885","2522","1000",
"50","32","5","4071","2153","2222","3891","2458","1000",
"50","33","5","3970","2153","2124","3893","2458","1000",
"50","34","5","3867","2153","2058","3892","2458","1000",
"50","35","5","3769","2153","2016","3889","2458","1000",
"50","36","5","3668","2153","1992","3883","2458","1000",
"50","37","5","3570","2153","1980","3875","2458","1000",
"50","38","5","3472","2153","1978","3864","2458","1000",
"50","39","5","3372","2153","1983","3851","2458","1000",
"50","40","5","3272","2153","1992","3837","2458","1000",
"50","41","5","3170","2153","2005","3820","2458","1000",
"50","42","6","3695","1778","1877","3818","2351","1000",
"50","43","6","3596","1778","1783","3812","2351","1000",
"50","44","6","3493","1778","1714","3805","2351","1000",
"50","45","6","3396","1778","1665","3796","2351","1000",
"50","46","6","3297","1778","1633","3785","2351","1000",
"50","47","6","3192","1778","1614","3772","2351","1000",
"50","48","6","3094","1778","1605","3758","2351","1000",
"50","49","6","2999","1778","1603","3743","2351","1000",
"50","50","6","2894","1778","1608","3726","2351","1000",
