obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
"48","1","1","6761","2759","6761","2759","2000",
"48","2","1","6662","2759","6712","2759","2000",
"48","3","1","6563","2759","6662","2759","2000",
"48","4","1","6463","2759","6612","2759","2000",
"48","5","1","6363","2759","6562","2759","2000",
"48","6","1","6263","2759","6513","2759","2000",
"48","7","1","6162","2759","6462","2759","2000",
"48","8","1","6062","2759","6412","2759","2000",
"48","9","1","5963","2759","6362","2759","2000",
"48","10","1","5863","2759","6313","2759","2000",
"48","11","1","5762","2759","6262","2759","2000",
"48","12","1","5663","2759","6213","2759","2000",
"48","13","1","5563","2759","6163","2759","2000",
"48","14","1","5463","2759","6113","2759","2000",
"48","15","1","5362","2759","6063","2759","2000",
"48","16","1","5263","2759","6013","2759","2000",
"48","17","1","5163","2759","5963","2759","2000",
"48","18","1","5063","2759","5913","2759","2000",
"48","19","1","4963","2759","5863","2759","2000",
"48","20","1","4863","2759","5813","2759","2000",
"48","21","1","4763","2759","5763","2759","2000",
"50","22","2","6301","2396","5787","2578","2000",
"50","23","2","6201","2396","5805","2578","2000",
"50","24","2","6100","2396","5817","2578","2000",
"50","25","2","6001","2396","5825","2578","2000",
"50","26","2","5901","2396","5828","2578","2000",
"50","27","2","5801","2396","5827","2578","2000",
"50","28","2","5701","2396","5822","2578","2000",
"50","29","2","5600","2396","5815","2578","2000",
"50","30","2","5500","2396","5804","2578","2000",
"50","31","2","5401","2396","5791","2578","2000",
"50","32","2","5301","2396","5776","2578","2000",
"50","33","2","5200","2396","5758","2578","2000",
"50","34","2","5101","2396","5739","2578","2000",
"50","35","2","5000","2396","5718","2578","2000",
"50","36","2","4901","2396","5695","2578","2000",
"50","37","2","4801","2396","5671","2578","2000",
"50","38","2","4700","2396","5645","2578","2000",
"50","39","2","4600","2396","5619","2578","2000",
"50","40","2","4500","2396","5591","2578","2000",
"50","41","2","4401","2396","5562","2578","2000",
"50","42","3","5470","1565","5559","2240","2000",
"50","43","3","5370","1565","5555","2240","2000",
"50","44","3","5270","1565","5549","2240","2000",
"50","45","3","5170","1565","5540","2240","2000",
"50","46","3","5070","1565","5530","2240","2000",
"50","47","3","4970","1565","5518","2240","2000",
"50","48","3","4869","1565","5505","2240","2000",
"50","49","3","4770","1565","5490","2240","2000",
"50","50","3","4670","1565","5473","2240","2000",
