requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
"4","1","1","1476","1476","1476","1476","1476","0",
"4","2","2","1382","1382","1382","1429","1429","0",
"5","3","3","1340","1340","1604","1399","1399","0",
"6","4","4","1241","1241","974","1360","1360","0",
"7","5","5","1164","1164","1039","1321","1321","0",
"8","6","6","1117","1117","1077","1287","1287","0",
"9","7","7","1055","1055","1018","1253","1253","0",
"10","8","8","1070","1070","1101","1231","1231","0",
"11","9","9","1148","1148","1271","1221","1221","0",
"12","10","10","1145","1145","1278","1214","1214","0",
"13","11","11","1097","1097","1176","1203","1203","0",
"14","12","12","1305","1305","1402","1212","1212","0",
"15","13","13","1149","1149","1255","1207","1207","0",
"16","14","14","1179","1179","1208","1205","1205","0",
"17","15","15","1085","1085","1071","1197","1197","0",
"18","16","16","1128","1128","1048","1192","1192","0",
"19","17","17","1164","1164","1071","1191","1191","0",
"20","18","18","1100","1100","1026","1186","1186","0",
"21","19","19","1117","1117","1018","1182","1182","0",
"22","20","20","1078","1078","985","1177","1177","0",
"23","21","21","1312","1312","1147","1183","1183","0",
"24","22","22","1085","1085","1078","1179","1179","0",
"25","23","23","1086","1086","1036","1175","1175","0",
"26","24","24","1085","1085","1009","1171","1171","0",
"27","25","25","1040","1040","966","1166","1166","0",
"28","26","26","1074","1074","961","1162","1162","0",
"29","27","27","1101","1101","977","1160","1160","0",
"30","28","28","1054","1054","964","1156","1156","0",
"31","29","29","1101","1101","983","1155","1154","0",
"32","30","30","1116","1116","1007","1153","1153","0",
"33","31","31","1085","1085","1010","1151","1151","0",
"34","32","32","1081","1081","1011","1149","1149","0",
"35","33","33","1133","1133","1038","1148","1148","0",
"36","34","34","1039","1039","1014","1145","1145","0",
"37","35","35","1050","1050","1002","1142","1142","0",
"38","36","36","1117","1117","1025","1142","1142","0",
"39","37","37","1158","1158","1060","1142","1142","0",
"40","38","38","1101","1101","1063","1141","1141","0",
"41","39","39","1055","1055","1047","1139","1139","0",
"42","40","40","1074","1074","1041","1137","1137","0",
"43","41","41","1263","1263","1112","1141","1141","0",
"44","42","42","1086","1086","1099","1139","1139","0",
"45","43","43","1067","1067","1081","1137","1137","0",
"46","44","44","1130","1130","1090","1137","1137","0",
"47","45","45","1086","1086","1081","1136","1136","0",
"48","46","46","1039","1039","1058","1134","1134","0",
"49","47","47","1056","1056","1045","1132","1132","0",
"50","48","48","1145","1145","1064","1132","1132","0",
"50","49","49","1053","1053","1050","1131","1131","0",
"50","50","50","1155","1155","1071","1131","1131","0",
