requests,served,persisted,serve RTT,req RTT,next RTT,serve av,persist av,window size
16,1,1,1549,1549,1549,1549,1549,0
18,2,2,1569,1569,1569,1560,1560,0
19,3,3,1614,1614,2023,1578,1578,0
20,4,4,1666,1666,1707,1600,1600,0
22,5,5,1726,1726,1781,1625,1625,0
24,6,6,1799,1799,1873,1654,1654,0
25,7,7,1939,1939,2100,1694,1694,0
27,8,8,1964,1964,2043,1728,1728,0
30,9,9,2082,2082,2159,1767,1767,0
32,10,10,2215,2215,2323,1812,1812,0
34,11,11,2365,2365,2507,1863,1863,0
35,12,12,2328,2328,2435,1902,1901,0
36,13,13,2417,2417,2457,1941,1941,0
38,14,14,2465,2465,2474,1978,1978,0
41,15,15,2645,2645,2639,2023,2023,0
42,16,16,2638,2638,2672,2061,2061,0
44,17,17,2773,2773,2783,2103,2103,0
45,18,18,2909,2909,2931,2148,2148,0
46,19,19,3145,3145,3176,2200,2200,0
48,20,20,3229,3229,3344,2252,2252,0
49,21,21,3321,3321,3472,2303,2303,0
50,22,22,3520,3520,3654,2358,2358,0
50,23,23,3502,3502,3714,2408,2408,0
50,24,24,3724,3724,3863,2463,2463,0
50,25,25,3789,3789,3965,2516,2516,0
50,26,26,3862,3862,4042,2568,2568,0
50,27,27,4006,4006,4146,2620,2620,0
50,28,28,4437,4437,4531,2791,2791,0
50,29,29,4514,4514,4644,2851,2851,0
50,30,30,4537,4537,4704,2907,2907,0
50,31,31,4724,4724,4813,2965,2965,0
50,32,32,4865,4865,4934,3025,3025,0
50,33,33,4828,4828,4978,3079,3079,0
50,34,34,4911,4911,5024,3133,3133,0
50,35,35,4945,4945,5051,3185,3185,0
50,36,36,4946,4946,5051,3234,3234,0
50,37,37,4900,4900,5012,3279,3279,0
50,38,38,4887,4887,4961,3321,3321,0
50,39,39,4873,4873,4901,3361,3361,0
50,40,40,4973,4973,4884,3401,3401,0
50,41,41,4966,4966,4859,3440,3440,0
50,42,42,5013,5013,4848,3477,3477,0
50,43,43,5089,5089,4861,3515,3515,0
50,44,44,5057,5057,4852,3550,3550,0
50,45,45,5002,5002,4821,3582,3582,0
50,46,46,5127,5127,4835,3616,3616,0
50,47,47,5075,5075,4824,3646,3646,0
50,48,48,5232,5232,4865,3680,3680,0
50,49,49,5258,5257,4904,3712,3712,0
50,50,50,5204,5204,4915,3742,3742,0
