obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
"28","1","1","2734","2733","2734","2733","0",
"28","2","2","2682","2682","2708","2708","0",
"30","3","3","2740","2740","2719","2718","0",
"30","4","4","2692","2692","2712","2712","0",
"33","5","5","2876","2876","2745","2745","0",
"35","6","6","2985","2985","2785","2785","0",
"37","7","7","2916","2916","2804","2803","0",
"37","8","8","3041","3041","2833","2833","0",
"38","9","9","2920","2920","2843","2843","0",
"42","10","10","3262","3262","2885","2885","0",
"44","11","11","3320","3320","2924","2924","0",
"44","12","12","3170","3170","2945","2945","0",
"45","13","13","3322","3322","2974","2974","0",
"48","14","14","3489","3489","3011","3011","0",
"49","15","15","3491","3491","3043","3043","0",
"50","16","16","3632","3632","3080","3079","0",
"50","17","17","3762","3762","3120","3120","0",
"50","18","18","4233","4232","3182","3181","0",
"50","19","19","4161","4161","3233","3233","0",
"50","20","20","4506","4505","3297","3297","0",
"50","21","21","4711","4711","3364","3364","0",
"50","22","22","4796","4796","3429","3429","0",
"50","23","23","4827","4827","3490","3490","0",
"50","24","24","5013","5013","3553","3553","0",
"50","25","25","5279","5279","3622","3622","0",
"50","26","26","5230","5230","3684","3684","0",
"50","27","27","5416","5416","3748","3748","0",
"50","28","28","5342","5342","3805","3805","0",
"50","29","29","5268","5268","3856","3856","0",
"50","30","30","5482","5482","3910","3910","0",
"50","31","31","5407","5407","3958","3958","0",
"50","32","32","5412","5412","4004","4004","0",
"50","33","33","5520","5520","4050","4050","0",
"50","34","34","5397","5397","4089","4089","0",
"50","35","35","5551","5551","4131","4131","0",
"50","36","36","5662","5662","4174","4173","0",
"50","37","37","5797","5797","4217","4217","0",
"50","38","38","5623","5623","4254","4254","0",
"50","39","39","5526","5526","4287","4287","0",
"50","40","40","5680","5680","4322","4322","0",
"50","41","41","6193","6193","4367","4367","0",
"50","42","42","5843","5843","4403","4403","0",
"50","43","43","5900","5900","4437","4437","0",
"50","44","44","5851","5851","4470","4469","0",
"50","45","45","5907","5907","4501","4501","0",
"50","46","46","5834","5834","4530","4530","0",
"50","47","47","6023","6023","4562","4562","0",
"50","48","48","6079","6079","4594","4594","0",
"50","49","49","6086","6086","4624","4624","0",
"50","50","50","6411","6411","4660","4660","0",
