obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
"12","1","1","2374","2374","2374","2374","0",
"13","2","2","2249","2249","2312","2312","0",
"14","3","3","2030","2030","2218","2218","0",
"15","4","4","1918","1918","2143","2143","0",
"16","5","5","1847","1847","2084","2084","0",
"17","6","6","1883","1883","2050","2050","0",
"17","7","7","2907","2907","2173","2173","0",
"18","8","8","2795","2795","2250","2250","0",
"19","9","9","2046","2046","2228","2228","0",
"20","10","10","2005","2005","2205","2205","0",
"21","11","11","2009","2009","2188","2188","0",
"22","12","12","2175","2175","2187","2187","0",
"23","13","13","2029","2029","2174","2174","0",
"24","14","14","1914","1914","2156","2156","0",
"24","15","15","2139","2139","2155","2155","0",
"26","16","16","1904","1904","2139","2139","0",
"26","17","17","1755","1755","2116","2116","0",
"26","18","18","2183","2183","2120","2120","0",
"28","19","19","1893","1893","2108","2108","0",
"30","20","20","2032","2032","2104","2104","0",
"30","21","21","1859","1859","2093","2093","0",
"31","22","22","1946","1946","2086","2086","0",
"32","23","23","1850","1850","2076","2076","0",
"33","24","24","1762","1762","2063","2063","0",
"35","25","25","1849","1849","2054","2054","0",
"35","26","26","2354","2354","2066","2066","0",
"35","27","27","1781","1781","2055","2055","0",
"37","28","28","1892","1892","2049","2049","0",
"38","29","29","1849","1849","2042","2042","0",
"39","30","30","1708","1708","2031","2031","0",
"39","31","31","1935","1935","2028","2028","0",
"41","32","32","1847","1847","2022","2022","0",
"42","33","33","1856","1856","2017","2017","0",
"42","34","34","1761","1761","2010","2010","0",
"45","35","35","1879","1879","2006","2006","0",
"45","36","36","2160","2160","2010","2010","0",
"45","37","37","1783","1783","2004","2004","0",
"48","38","38","1982","1982","2004","2004","0",
"49","39","39","1836","1836","1999","1999","0",
"49","40","40","2262","2262","2006","2006","0",
"50","41","41","1823","1823","2001","2001","0",
"50","42","42","1723","1723","1995","1995","0",
"50","43","43","1913","1913","1993","1993","0",
"50","44","44","1843","1843","1990","1990","0",
"50","45","45","1902","1902","1988","1988","0",
"50","46","46","1885","1885","1985","1985","0",
"50","47","47","1789","1789","1981","1981","0",
"50","48","48","1616","1616","1974","1974","0",
"50","49","49","1544","1544","1965","1965","0",
"50","50","50","1502","1502","1956","1956","0",
