obj requests,obj changes reflected,obj persisted,obj served RTT,obj persisted RTT,serve time av,perist time av,window size
50,1,1,6167,6167,6167,6167,0
50,2,2,6769,6769,6468,6468,0
50,3,3,7136,7136,6691,6691,0
50,4,4,8444,8444,7129,7129,0
50,5,5,8813,8813,7466,7466,0
50,6,6,9183,9183,7752,7752,0
50,7,7,10254,10254,8109,8109,0
50,8,8,10856,10856,8453,8453,0
50,9,9,11459,11459,8787,8787,0
50,10,10,12298,12298,9138,9138,0
50,11,11,12901,12901,9480,9480,0
50,12,12,13267,13267,9796,9796,0
50,13,13,14343,14343,10145,10145,0
50,14,14,14946,14946,10488,10488,0
50,15,15,15314,15314,10810,10810,0
50,16,16,15447,15447,11100,11100,0
50,17,17,15815,15815,11377,11377,0
50,18,18,16183,16183,11644,11644,0
50,19,19,16788,16788,11915,11915,0
50,20,20,17157,17157,12177,12177,0
50,21,21,17759,17759,12443,12443,0
50,22,22,18127,18127,12701,12701,0
50,23,23,18733,18733,12963,12963,0
50,24,24,19101,19101,13219,13219,0
50,25,25,19704,19704,13479,13479,0
50,26,26,20072,20072,13732,13732,0
50,27,27,20675,20675,13989,13989,0
50,28,28,21044,21044,14241,14241,0
50,29,29,21648,21648,14497,14497,0
50,30,30,22016,22015,14747,14747,0
50,31,31,22622,22622,15001,15001,0
50,32,32,22988,22988,15251,15251,0
50,33,33,23590,23590,15504,15504,0
50,34,34,23960,23960,15752,15752,0
50,35,35,24562,24562,16004,16004,0
50,36,36,24931,24931,16252,16252,0
50,37,37,25536,25536,16503,16503,0
50,38,38,25904,25904,16750,16750,0
50,39,39,26508,26508,17001,17000,0
50,40,40,26876,26876,17247,17247,0
50,41,41,27478,27478,17497,17497,0
50,42,42,27846,27846,17743,17743,0
50,43,43,28450,28450,17992,17992,0
50,44,44,28820,28820,18238,18238,0
50,45,45,29420,29420,18487,18487,0
50,46,46,29790,29790,18733,18733,0
50,47,47,30394,30394,18981,18981,0
50,48,48,30763,30763,19226,19226,0
50,49,49,31367,31367,19474,19474,0
50,50,50,31735,31735,19719,19719,0
